Tries,outcome
2068,Straight
2069,Two pair
2070,High card
2071,High card
2072,Three of a kind
2073,Two pair
2074,One pair
2075,One pair
2076,One pair
2077,Two pair
2078,One pair
2079,Straight
2080,One pair
2081,High card
2082,Straight
2083,One pair
2084,One pair
2085,One pair
2086,High card
2087,One pair
2088,Two pair
2089,One pair
2090,High card
2091,Two pair
2092,High card
2093,Two pair
2094,One pair
2095,One pair
2096,One pair
2097,One pair
2098,One pair
2099,One pair
2100,High card
2101,High card
2102,One pair
2103,One pair
2104,One pair
2105,Flush
2106,One pair
2107,One pair
2108,Straight
2109,Two pair
2110,High card
2111,Two pair
2112,Two pair
2113,High card
2114,One pair
2115,One pair
2116,Three of a kind
2117,One pair
2118,High card
2119,High card
2120,Two pair
2121,Straight
2122,One pair
2123,Two pair
2124,Three of a kind
2125,Two pair
2126,One pair
2127,One pair
2128,One pair
2129,One pair
2130,Three of a kind
2131,Two pair
2132,High card
2133,One pair
2134,Flush
2135,One pair
2136,High card
2137,Two pair
2138,Two pair
2139,One pair
2140,Three of a kind
2141,One pair
2142,High card
2143,High card
2144,One pair
2145,One pair
2146,One pair
2147,One pair
2148,High card
2149,One pair
2150,One pair
2151,High card
2152,One pair
2153,High card
2154,Two pair
2155,One pair
2156,One pair
2157,Two pair
2158,One pair
2159,High card
2160,Two pair
2161,One pair
2162,Two pair
2163,One pair
2164,One pair
2165,High card
2166,Two pair
2167,High card
2168,One pair
2169,One pair
2170,One pair
2171,Full house
2172,One pair
2173,Two pair
2174,Two pair
2175,Two pair
2176,One pair
2177,Two pair
2178,One pair
2179,Straight
2180,One pair
2181,One pair
2182,High card
2183,Straight
2184,One pair
2185,One pair
2186,One pair
2187,One pair
2188,Flush
2189,Flush
2190,Two pair
2191,High card
2192,Two pair
2193,Two pair
2194,Three of a kind
2195,Straight flush
2196,One pair
2197,Two pair
2198,One pair
2199,One pair
2200,Two pair
2201,Straight
2202,One pair
2203,One pair
2204,High card
2205,One pair
2206,High card
2207,Three of a kind
2208,High card
2209,One pair
2210,One pair
2211,Two pair
2212,Full house
2213,Full house
2214,Straight
2215,One pair
2216,One pair
2217,Straight
2218,Two pair
2219,One pair
2220,One pair
2221,One pair
2222,One pair
2223,High card
2224,Two pair
2225,Full house
2226,One pair
2227,High card
2228,One pair
2229,Two pair
2230,One pair
2231,Two pair
2232,One pair
2233,Two pair
2234,Three of a kind
2235,One pair
2236,Flush
2237,One pair
2238,One pair
2239,One pair
2240,One pair
2241,One pair
2242,One pair
2243,High card
2244,Two pair
2245,One pair
2246,Two pair
2247,High card
2248,Two pair
2249,One pair
2250,One pair
2251,One pair
2252,Two pair
2253,Two pair
2254,Straight
2255,One pair
2256,Straight
2257,High card
2258,Three of a kind
2259,One pair
2260,Three of a kind
2261,One pair
2262,One pair
2263,Two pair
2264,One pair
2265,One pair
2266,One pair
2267,High card
2268,High card
2269,One pair
2270,Straight
2271,One pair
2272,One pair
2273,One pair
2274,High card
2275,One pair
2276,One pair
2277,One pair
2278,Two pair
2279,High card
2280,High card
2281,Two pair
2282,Straight
2283,Three of a kind
2284,One pair
2285,Full house
2286,One pair
2287,One pair
2288,One pair
2289,One pair
2290,High card
2291,One pair
2292,One pair
2293,Two pair
2294,Two pair
2295,One pair
2296,Two pair
2297,One pair
2298,High card
2299,Two pair
2300,One pair
2301,One pair
2302,One pair
2303,Full house
2304,Two pair
2305,Two pair
2306,Four of a kind
2307,High card
2308,Two pair
2309,One pair
2310,One pair
2311,Three of a kind
2312,One pair
2313,Two pair
2314,One pair
2315,One pair
2316,One pair
2317,One pair
2318,One pair
2319,Flush
2320,One pair
2321,Two pair
2322,One pair
2323,Two pair
2324,One pair
2325,One pair
2326,Two pair
2327,High card
2328,One pair
2329,One pair
2330,Two pair
2331,High card
2332,High card
2333,One pair
2334,One pair
2335,One pair
2336,Two pair
2337,Two pair
2338,One pair
2339,One pair
2340,One pair
2341,One pair
2342,Two pair
2343,One pair
2344,Three of a kind
2345,Flush
2346,High card
2347,High card
2348,Full house
2349,One pair
2350,One pair
2351,One pair
2352,One pair
2353,One pair
2354,Flush
2355,One pair
2356,One pair
2357,High card
2358,One pair
2359,One pair
2360,One pair
2361,One pair
2362,Three of a kind
2363,Flush
2364,High card
2365,Two pair
2366,One pair
2367,Straight
2368,High card
2369,Full house
2370,Three of a kind
2371,One pair
2372,Two pair
2373,Two pair
2374,One pair
2375,Two pair
2376,High card
2377,High card
2378,Two pair
2379,Two pair
2380,One pair
2381,One pair
2382,One pair
2383,High card
2384,High card
2385,Two pair
2386,Two pair
2387,One pair
2388,Two pair
2389,One pair
2390,One pair
2391,Two pair
2392,One pair
2393,One pair
2394,One pair
2395,High card
2396,Three of a kind
2397,One pair
2398,Two pair
2399,Two pair
2400,Two pair
2401,One pair
2402,One pair
2403,Two pair
2404,Two pair
2405,High card
2406,One pair
2407,One pair
2408,One pair
2409,One pair
2410,Two pair
2411,Two pair
2412,High card
2413,Two pair
2414,Two pair
2415,Two pair
2416,One pair
2417,High card
2418,High card
2419,Three of a kind
2420,One pair
2421,Two pair
2422,Two pair
2423,Two pair
2424,Two pair
2425,One pair
2426,One pair
2427,High card
2428,One pair
2429,High card
2430,Straight
2431,Two pair
2432,Two pair
2433,One pair
2434,Two pair
2435,One pair
2436,High card
2437,One pair
2438,One pair
2439,Three of a kind
2440,One pair
2441,One pair
2442,Two pair
2443,Two pair
2444,One pair
2445,Full house
2446,One pair
2447,One pair
2448,High card
2449,Two pair
2450,High card
2451,Three of a kind
2452,Three of a kind
2453,Two pair
2454,One pair
2455,Two pair
2456,One pair
2457,One pair
2458,Two pair
2459,One pair
2460,Two pair
2461,One pair
2462,High card
2463,One pair
2464,Three of a kind
2465,Two pair
2466,Full house
2467,One pair
2468,Two pair
2469,One pair
2470,High card
2471,One pair
2472,High card
2473,Full house
2474,One pair
2475,Two pair
2476,One pair
2477,One pair
2478,Straight
2479,High card
2480,Two pair
2481,Two pair
2482,Two pair
2483,One pair
2484,One pair
2485,Two pair
2486,Two pair
2487,Two pair
2488,Two pair
2489,Two pair
2490,One pair
2491,Two pair
2492,One pair
2493,Two pair
2494,One pair
2495,One pair
2496,One pair
2497,Straight
2498,One pair
2499,One pair
2500,High card
2501,Two pair
2502,One pair
2503,One pair
2504,Two pair
2505,Two pair
2506,One pair
2507,Two pair
2508,One pair
2509,One pair
2510,One pair
2511,One pair
2512,Two pair
2513,One pair
2514,One pair
2515,One pair
2516,One pair
2517,One pair
2518,Two pair
2519,Two pair
2520,Full house
2521,Two pair
2522,Three of a kind
2523,One pair
2524,One pair
2525,Two pair
2526,One pair
2527,One pair
2528,Two pair
2529,One pair
2530,One pair
2531,One pair
2532,One pair
2533,One pair
2534,One pair
2535,Two pair
2536,High card
2537,High card
2538,Two pair
2539,One pair
2540,One pair
2541,Two pair
2542,Two pair
2543,Two pair
2544,One pair
2545,High card
2546,Three of a kind
2547,Two pair
2548,One pair
2549,High card
2550,One pair
2551,One pair
2552,One pair
2553,Straight
2554,One pair
2555,One pair
2556,One pair
2557,One pair
2558,Two pair
2559,One pair
2560,One pair
2561,One pair
2562,High card
2563,High card
2564,High card
2565,High card
2566,One pair
2567,One pair
2568,One pair
2569,High card
2570,One pair
2571,One pair
2572,Two pair
2573,Two pair
2574,High card
2575,One pair
2576,One pair
2577,One pair
2578,One pair
2579,Two pair
2580,One pair
2581,One pair
2582,High card
2583,One pair
2584,One pair
2585,Two pair
2586,One pair
2587,One pair
2588,One pair
2589,One pair
2590,Two pair
2591,Three of a kind
2592,One pair
2593,Two pair
2594,One pair
2595,Two pair
2596,One pair
2597,One pair
2598,High card
2599,Three of a kind
2600,Two pair
2601,High card
2602,High card
2603,Two pair
2604,High card
2605,Two pair
2606,Two pair
2607,High card
2608,Straight
2609,Two pair
2610,One pair
2611,One pair
2612,Straight
2613,One pair
2614,Two pair
2615,One pair
2616,One pair
2617,One pair
2618,One pair
2619,One pair
2620,Two pair
2621,One pair
2622,One pair
2623,High card
2624,Two pair
2625,Three of a kind
2626,Two pair
2627,One pair
2628,Two pair
2629,Two pair
2630,Two pair
2631,One pair
2632,One pair
2633,Two pair
2634,Three of a kind
2635,One pair
2636,One pair
2637,Two pair
2638,Two pair
2639,High card
2640,One pair
2641,Flush
2642,One pair
2643,One pair
2644,Two pair
2645,One pair
2646,High card
2647,Two pair
2648,Two pair
2649,One pair
2650,One pair
2651,One pair
2652,High card
2653,One pair
2654,Two pair
2655,Straight
2656,Flush
2657,One pair
2658,One pair
2659,High card
2660,Two pair
2661,One pair
2662,One pair
2663,High card
2664,Three of a kind
2665,One pair
2666,High card
2667,Two pair
2668,Two pair
2669,Two pair
2670,One pair
2671,One pair
2672,One pair
2673,High card
2674,High card
2675,Straight
2676,One pair
2677,High card
2678,Two pair
2679,Three of a kind
2680,High card
2681,High card
2682,One pair
2683,High card
2684,Two pair
2685,One pair
2686,Two pair
2687,One pair
2688,One pair
2689,One pair
2690,Two pair
2691,One pair
2692,One pair
2693,One pair
2694,One pair
2695,One pair
2696,High card
2697,High card
2698,Two pair
2699,One pair
2700,One pair
2701,Two pair
2702,Straight
2703,One pair
2704,One pair
2705,High card
2706,High card
2707,High card
2708,Two pair
2709,One pair
2710,Two pair
2711,Two pair
2712,One pair
2713,One pair
2714,High card
2715,Three of a kind
2716,Two pair
2717,One pair
2718,One pair
2719,One pair
2720,High card
2721,Two pair
2722,Two pair
2723,One pair
2724,Straight
2725,Two pair
2726,One pair
2727,Two pair
2728,One pair
2729,Straight flush
2730,One pair
2731,High card
2732,One pair
2733,High card
2734,Two pair
2735,One pair
2736,One pair
2737,One pair
2738,Two pair
2739,High card
2740,Two pair
2741,Flush
2742,High card
2743,High card
2744,Two pair
2745,Two pair
2746,One pair
2747,One pair
2748,One pair
2749,High card
2750,High card
2751,One pair
2752,Straight
2753,One pair
2754,Two pair
2755,High card
2756,Three of a kind
2757,High card
2758,Three of a kind
2759,One pair
2760,One pair
2761,Two pair
2762,One pair
2763,One pair
2764,High card
2765,Straight
2766,One pair
2767,High card
2768,One pair
2769,Flush
2770,Straight
2771,Two pair
2772,Two pair
2773,One pair
2774,High card
2775,High card
2776,Two pair
2777,High card
2778,One pair
2779,High card
2780,Straight
2781,High card
2782,High card
2783,One pair
2784,One pair
2785,Two pair
2786,One pair
2787,Two pair
2788,One pair
2789,One pair
2790,High card
2791,Full house
2792,Two pair
2793,Flush
2794,High card
2795,High card
2796,Two pair
2797,One pair
2798,One pair
2799,High card
2800,Two pair
2801,One pair
2802,One pair
2803,One pair
2804,Three of a kind
2805,One pair
2806,One pair
2807,Three of a kind
2808,Two pair
2809,Three of a kind
2810,High card
2811,One pair
2812,High card
2813,Two pair
2814,Two pair
2815,One pair
2816,One pair
2817,Two pair
2818,Two pair
2819,Two pair
2820,One pair
2821,One pair
2822,Two pair
2823,High card
2824,One pair
2825,Two pair
2826,One pair
2827,One pair
2828,One pair
2829,One pair
2830,Two pair
2831,Two pair
2832,One pair
2833,One pair
2834,One pair
2835,One pair
2836,High card
2837,One pair
2838,High card
2839,High card
2840,Two pair
2841,One pair
2842,High card
2843,High card
2844,One pair
2845,Two pair
2846,High card
2847,Three of a kind
2848,High card
2849,One pair
2850,Two pair
2851,One pair
2852,One pair
2853,Full house
2854,One pair
2855,One pair
2856,One pair
2857,One pair
2858,High card
2859,One pair
2860,Two pair
2861,Two pair
2862,One pair
2863,One pair
2864,One pair
2865,One pair
2866,Full house
2867,Two pair
2868,One pair
2869,One pair
2870,High card
2871,One pair
2872,One pair
2873,Two pair
2874,Two pair
2875,Three of a kind
2876,One pair
2877,One pair
2878,One pair
2879,One pair
2880,One pair
2881,One pair
2882,Straight
2883,Straight
2884,Two pair
2885,Three of a kind
2886,One pair
2887,One pair
2888,High card
2889,High card
2890,One pair
2891,Full house
2892,Four of a kind
2893,Two pair
2894,One pair
2895,Three of a kind
2896,One pair
2897,Two pair
2898,Three of a kind
2899,One pair
2900,Three of a kind
2901,One pair
2902,High card
2903,Two pair
2904,Straight
2905,One pair
2906,One pair
2907,Two pair
2908,One pair
2909,Straight
2910,One pair
2911,High card
2912,Two pair
2913,Flush
2914,One pair
2915,Two pair
2916,Three of a kind
2917,Two pair
2918,One pair
2919,One pair
2920,High card
2921,Two pair
2922,Two pair
2923,One pair
2924,One pair
2925,One pair
2926,Two pair
2927,One pair
2928,High card
2929,Straight
2930,Three of a kind
2931,One pair
2932,One pair
2933,Two pair
2934,One pair
2935,One pair
2936,One pair
2937,One pair
2938,One pair
2939,High card
2940,One pair
2941,Two pair
2942,Two pair
2943,One pair
2944,One pair
2945,Full house
2946,Straight
2947,One pair
2948,High card
2949,Three of a kind
2950,High card
2951,One pair
2952,Two pair
2953,High card
2954,Two pair
2955,High card
2956,One pair
2957,High card
2958,High card
2959,One pair
2960,Flush
2961,Full house
2962,Full house
2963,One pair
2964,One pair
2965,Two pair
2966,One pair
2967,One pair
2968,High card
2969,One pair
2970,One pair
2971,Three of a kind
2972,High card
2973,High card
2974,One pair
2975,Three of a kind
2976,Three of a kind
2977,Flush
2978,Two pair
2979,Two pair
2980,Full house
2981,One pair
2982,One pair
2983,One pair
2984,One pair
2985,One pair
2986,Two pair
2987,Two pair
2988,High card
2989,One pair
2990,One pair
2991,High card
2992,Two pair
2993,High card
2994,One pair
2995,High card
2996,High card
2997,Two pair
2998,High card
2999,Two pair
3000,Flush
3001,One pair
3002,Three of a kind
3003,High card
3004,One pair
3005,One pair
3006,One pair
3007,Two pair
3008,Two pair
3009,Two pair
3010,High card
3011,One pair
3012,Straight
3013,High card
3014,One pair
3015,Two pair
3016,Three of a kind
3017,One pair
3018,One pair
3019,One pair
3020,One pair
3021,Two pair
3022,One pair
3023,One pair
3024,One pair
3025,Two pair
3026,One pair
3027,Two pair
3028,High card
3029,One pair
3030,Two pair
3031,One pair
3032,Two pair
3033,One pair
3034,Flush
3035,One pair
3036,One pair
3037,One pair
3038,One pair
3039,One pair
3040,One pair
3041,One pair
3042,High card
3043,Two pair
3044,One pair
3045,Full house
3046,One pair
3047,High card
3048,One pair
3049,One pair
3050,One pair
3051,One pair
3052,High card
3053,One pair
3054,One pair
3055,One pair
3056,One pair
3057,One pair
3058,One pair
3059,Two pair
3060,High card
3061,Two pair
3062,Two pair
3063,Full house
3064,Two pair
3065,High card
3066,Two pair
3067,High card
3068,One pair
3069,High card
3070,One pair
3071,Two pair
3072,Full house
3073,Two pair
3074,One pair
3075,One pair
3076,One pair
3077,One pair
3078,High card
3079,One pair
3080,One pair
3081,Two pair
3082,High card
3083,One pair
3084,Two pair
3085,One pair
3086,Full house
3087,One pair
3088,High card
3089,High card
3090,One pair
3091,High card
3092,One pair
3093,One pair
3094,Two pair
3095,One pair
3096,One pair
3097,One pair
3098,Two pair
3099,One pair
3100,Three of a kind
3101,One pair
3102,One pair
3103,One pair
3104,One pair
3105,One pair
3106,Three of a kind
3107,One pair
3108,One pair
3109,One pair
3110,One pair
3111,High card
3112,One pair
3113,Full house
3114,High card
3115,One pair
3116,One pair
3117,One pair
3118,One pair
3119,Three of a kind
3120,Three of a kind
3121,High card
3122,One pair
3123,Three of a kind
3124,Two pair
3125,Two pair
3126,High card
3127,High card
3128,One pair
3129,High card
3130,One pair
3131,High card
3132,One pair
3133,One pair
3134,Two pair
3135,Two pair
3136,One pair
3137,Two pair
3138,Two pair
3139,One pair
3140,One pair
3141,Two pair
3142,High card
3143,Straight
3144,Two pair
3145,One pair
3146,One pair
3147,Full house
3148,High card
3149,Two pair
3150,One pair
3151,Two pair
3152,Two pair
3153,One pair
3154,One pair
3155,One pair
3156,One pair
3157,One pair
3158,Two pair
3159,One pair
3160,Two pair
3161,One pair
3162,Three of a kind
3163,Two pair
3164,One pair
3165,One pair
3166,Full house
3167,High card
3168,One pair
3169,Two pair
3170,One pair
3171,Two pair
3172,Two pair
3173,One pair
3174,Full house
3175,Two pair
3176,One pair
3177,Two pair
3178,One pair
3179,Two pair
3180,One pair
3181,One pair
3182,One pair
3183,One pair
3184,High card
3185,High card
3186,One pair
3187,One pair
3188,One pair
3189,High card
3190,Two pair
3191,One pair
3192,One pair
3193,One pair
3194,High card
3195,Two pair
3196,Three of a kind
3197,High card
3198,High card
3199,One pair
3200,Straight
3201,One pair
3202,Three of a kind
3203,Straight
3204,Two pair
3205,One pair
3206,Two pair
3207,High card
3208,One pair
3209,Three of a kind
3210,One pair
3211,High card
3212,One pair
3213,Full house
3214,High card
3215,One pair
3216,Two pair
3217,One pair
3218,One pair
3219,One pair
3220,High card
3221,One pair
3222,Three of a kind
3223,Two pair
3224,One pair
3225,Two pair
3226,High card
3227,Two pair
3228,One pair
3229,High card
3230,Two pair
3231,One pair
3232,One pair
3233,One pair
3234,One pair
3235,Flush
3236,High card
3237,Two pair
3238,High card
3239,Full house
3240,Two pair
3241,Two pair
3242,One pair
3243,One pair
3244,Three of a kind
3245,High card
3246,Two pair
3247,Two pair
3248,One pair
3249,High card
3250,Three of a kind
3251,One pair
3252,One pair
3253,Two pair
3254,One pair
3255,One pair
3256,One pair
3257,One pair
3258,High card
3259,One pair
3260,High card
3261,Two pair
3262,One pair
3263,One pair
3264,One pair
3265,One pair
3266,One pair
3267,High card
3268,High card
3269,One pair
3270,Two pair
3271,Two pair
3272,One pair
3273,One pair
3274,One pair
3275,Two pair
3276,One pair
3277,High card
3278,One pair
3279,Two pair
3280,Two pair
3281,One pair
3282,High card
3283,Two pair
3284,Two pair
3285,Two pair
3286,One pair
3287,High card
3288,One pair
3289,Two pair
3290,One pair
3291,One pair
3292,Two pair
3293,Two pair
3294,Two pair
3295,Three of a kind
3296,High card
3297,One pair
3298,Two pair
3299,Two pair
3300,One pair
3301,One pair
3302,Full house
3303,High card
3304,High card
3305,One pair
3306,One pair
3307,One pair
3308,High card
3309,Three of a kind
3310,One pair
3311,One pair
3312,One pair
3313,High card
3314,One pair
3315,High card
3316,One pair
3317,One pair
3318,One pair
3319,High card
3320,One pair
3321,Two pair
3322,One pair
3323,Straight
3324,High card
3325,One pair
3326,One pair
3327,Full house
3328,One pair
3329,High card
3330,Two pair
3331,One pair
3332,Two pair
3333,One pair
3334,One pair
3335,Flush
3336,Two pair
3337,One pair
3338,Two pair
3339,Straight
3340,One pair
3341,Straight
3342,High card
3343,One pair
3344,High card
3345,High card
3346,One pair
3347,Straight
3348,One pair
3349,One pair
3350,One pair
3351,High card
3352,One pair
3353,High card
3354,One pair
3355,One pair
3356,One pair
3357,Two pair
3358,One pair
3359,One pair
3360,Two pair
3361,One pair
3362,Two pair
3363,One pair
3364,High card
3365,Three of a kind
3366,Straight
3367,One pair
3368,Flush
3369,One pair
3370,Straight
3371,One pair
3372,One pair
3373,Two pair
3374,One pair
3375,High card
3376,High card
3377,High card
3378,One pair
3379,One pair
3380,One pair
3381,High card
3382,One pair
3383,One pair
3384,One pair
3385,Straight
3386,Two pair
3387,High card
3388,High card
3389,Straight
3390,Two pair
3391,One pair
3392,Flush
3393,Two pair
3394,One pair
3395,Two pair
3396,One pair
3397,High card
3398,High card
3399,High card
3400,Two pair
3401,High card
3402,Three of a kind
3403,High card
3404,High card
3405,High card
3406,Two pair
3407,Two pair
3408,One pair
3409,One pair
3410,One pair
3411,Straight
3412,One pair
3413,High card
3414,High card
3415,High card
3416,Two pair
3417,One pair
3418,Two pair
3419,High card
3420,One pair
3421,One pair
3422,One pair
3423,High card
3424,High card
3425,One pair
3426,High card
3427,Two pair
3428,Two pair
3429,One pair
3430,Two pair
3431,One pair
3432,Three of a kind
3433,Two pair
3434,Two pair
3435,High card
3436,One pair
3437,High card
3438,One pair
3439,One pair
3440,One pair
3441,One pair
3442,Two pair
3443,High card
3444,One pair
3445,One pair
3446,Two pair
3447,One pair
3448,Two pair
3449,Two pair
3450,Full house
3451,One pair
3452,One pair
3453,One pair
3454,One pair
3455,One pair
3456,High card
3457,One pair
3458,Two pair
3459,One pair
3460,One pair
3461,One pair
3462,High card
3463,Two pair
3464,One pair
3465,One pair
3466,One pair
3467,One pair
3468,One pair
3469,One pair
3470,One pair
3471,One pair
3472,One pair
3473,One pair
3474,Straight
3475,Three of a kind
3476,Three of a kind
3477,Two pair
3478,One pair
3479,One pair
3480,One pair
3481,One pair
3482,Two pair
3483,One pair
3484,Two pair
3485,High card
3486,One pair
3487,One pair
3488,Two pair
3489,High card
3490,High card
3491,Two pair
3492,Two pair
3493,High card
3494,Flush
3495,One pair
3496,Two pair
3497,One pair
3498,One pair
3499,One pair
3500,Full house
3501,High card
3502,One pair
3503,One pair
3504,One pair
3505,One pair
3506,Two pair
3507,High card
3508,High card
3509,Flush
3510,Three of a kind
3511,Full house
3512,One pair
3513,One pair
3514,Two pair
3515,One pair
3516,Full house
3517,One pair
3518,Two pair
3519,High card
3520,High card
3521,Full house
3522,Two pair
3523,High card
3524,One pair
3525,High card
3526,One pair
3527,Two pair
3528,Two pair
3529,One pair
3530,One pair
3531,Two pair
3532,Straight
3533,Two pair
3534,One pair
3535,Two pair
3536,Straight
3537,Two pair
3538,Two pair
3539,One pair
3540,One pair
3541,One pair
3542,One pair
3543,One pair
3544,One pair
3545,Two pair
3546,Two pair
3547,One pair
3548,One pair
3549,One pair
3550,Two pair
3551,One pair
3552,Two pair
3553,One pair
3554,Two pair
3555,One pair
3556,Two pair
3557,One pair
3558,One pair
3559,Three of a kind
3560,High card
3561,Flush
3562,Two pair
3563,High card
3564,One pair
3565,One pair
3566,One pair
3567,High card
3568,High card
3569,One pair
3570,One pair
3571,One pair
3572,One pair
3573,Two pair
3574,Three of a kind
3575,High card
3576,One pair
3577,One pair
3578,One pair
3579,One pair
3580,One pair
3581,Two pair
3582,Full house
3583,Two pair
3584,One pair
3585,Straight
3586,High card
3587,Two pair
3588,One pair
3589,Two pair
3590,Two pair
3591,Three of a kind
3592,One pair
3593,Straight
3594,Straight
3595,Two pair
3596,One pair
3597,One pair
3598,Two pair
3599,High card
3600,One pair
3601,High card
3602,One pair
3603,High card
3604,Three of a kind
3605,One pair
3606,Straight
3607,High card
3608,Two pair
3609,One pair
3610,One pair
3611,High card
3612,One pair
3613,One pair
3614,One pair
3615,One pair
3616,High card
3617,High card
3618,Two pair
3619,Two pair
3620,Two pair
3621,One pair
3622,One pair
3623,Three of a kind
3624,High card
3625,Two pair
3626,One pair
3627,One pair
3628,Full house
3629,One pair
3630,One pair
3631,Three of a kind
3632,High card
3633,One pair
3634,One pair
3635,One pair
3636,One pair
3637,Three of a kind
3638,One pair
3639,Two pair
3640,One pair
3641,One pair
3642,One pair
3643,Two pair
3644,High card
3645,One pair
3646,High card
3647,High card
3648,One pair
3649,One pair
3650,One pair
3651,High card
3652,One pair
3653,One pair
3654,Full house
3655,One pair
3656,Full house
3657,One pair
3658,High card
3659,One pair
3660,One pair
3661,Three of a kind
3662,One pair
3663,Two pair
3664,Three of a kind
3665,Full house
3666,High card
3667,One pair
3668,High card
3669,Two pair
3670,High card
3671,High card
3672,High card
3673,Three of a kind
3674,One pair
3675,High card
3676,Two pair
3677,One pair
3678,One pair
3679,High card
3680,Two pair
3681,One pair
3682,One pair
3683,One pair
3684,Two pair
3685,One pair
3686,One pair
3687,Full house
3688,One pair
3689,One pair
3690,Two pair
3691,One pair
3692,Three of a kind
3693,One pair
3694,One pair
3695,Two pair
3696,High card
3697,Two pair
3698,High card
3699,Two pair
3700,Two pair
3701,One pair
3702,Two pair
3703,Two pair
3704,One pair
3705,One pair
3706,High card
3707,High card
3708,One pair
3709,Two pair
3710,One pair
3711,Full house
3712,One pair
3713,High card
3714,Two pair
3715,Four of a kind
3716,Flush
3717,Three of a kind
3718,One pair
3719,High card
3720,One pair
3721,Flush
3722,One pair
3723,High card
3724,Two pair
3725,Straight flush
3726,One pair
3727,Straight
3728,One pair
3729,Two pair
3730,Two pair
3731,High card
3732,One pair
3733,One pair
3734,Two pair
3735,Three of a kind
3736,High card
3737,Two pair
3738,High card
3739,Two pair
3740,High card
3741,Two pair
3742,Two pair
3743,High card
3744,One pair
3745,High card
3746,One pair
3747,Two pair
3748,High card
3749,Straight
3750,One pair
3751,High card
3752,One pair
3753,One pair
3754,Two pair
3755,One pair
3756,One pair
3757,Two pair
3758,Two pair
3759,High card
3760,One pair
3761,One pair
3762,One pair
3763,Two pair
3764,One pair
3765,High card
3766,High card
3767,One pair
3768,Two pair
3769,Flush
3770,High card
3771,One pair
3772,One pair
3773,One pair
3774,High card
3775,Straight
3776,One pair
3777,Two pair
3778,Two pair
3779,Two pair
3780,Three of a kind
3781,One pair
3782,Two pair
3783,High card
3784,One pair
3785,High card
3786,One pair
3787,Full house
3788,Two pair
3789,Three of a kind
3790,Two pair
3791,One pair
3792,One pair
3793,Two pair
3794,One pair
3795,Two pair
3796,Full house
3797,Straight
3798,One pair
3799,Two pair
3800,Two pair
3801,Three of a kind
3802,One pair
3803,High card
3804,High card
3805,High card
3806,One pair
3807,Two pair
3808,One pair
3809,High card
3810,Flush
3811,One pair
3812,High card
3813,High card
3814,One pair
3815,Three of a kind
3816,Two pair
3817,One pair
3818,High card
3819,Straight
3820,Two pair
3821,Two pair
3822,One pair
3823,One pair
3824,High card
3825,Two pair
3826,Three of a kind
3827,One pair
3828,Two pair
3829,High card
3830,Two pair
3831,Flush
3832,Flush
3833,One pair
3834,High card
3835,Flush
3836,Two pair
3837,Two pair
3838,High card
3839,One pair
3840,High card
3841,High card
3842,One pair
3843,One pair
3844,Two pair
3845,One pair
3846,Two pair
3847,High card
3848,Full house
3849,One pair
3850,Two pair
3851,One pair
3852,Two pair
3853,Two pair
3854,Straight
3855,One pair
3856,One pair
3857,One pair
3858,One pair
3859,Two pair
3860,Three of a kind
3861,One pair
3862,Two pair
3863,One pair
3864,High card
3865,Two pair
3866,Two pair
3867,Two pair
3868,Two pair
3869,One pair
3870,One pair
3871,Straight
3872,Two pair
3873,Two pair
3874,One pair
3875,One pair
3876,Two pair
3877,One pair
3878,Two pair
3879,Two pair
3880,Two pair
3881,Two pair
3882,One pair
3883,High card
3884,Three of a kind
3885,Three of a kind
3886,Two pair
3887,One pair
3888,High card
3889,One pair
3890,One pair
3891,Two pair
3892,Three of a kind
3893,One pair
3894,High card
3895,Two pair
3896,Two pair
3897,Flush
3898,Two pair
3899,Two pair
3900,Two pair
3901,One pair
3902,Two pair
3903,Two pair
3904,Three of a kind
3905,One pair
3906,One pair
3907,Full house
3908,High card
3909,One pair
3910,One pair
3911,Two pair
3912,High card
3913,Two pair
3914,Straight
3915,One pair
3916,High card
3917,Three of a kind
3918,Two pair
3919,High card
3920,Full house
3921,One pair
3922,Full house
3923,One pair
3924,High card
3925,One pair
3926,One pair
3927,Two pair
3928,One pair
3929,High card
3930,One pair
3931,One pair
3932,One pair
3933,One pair
3934,High card
3935,Two pair
3936,High card
3937,High card
3938,One pair
3939,High card
3940,Straight
3941,High card
3942,Straight
3943,Flush
3944,Three of a kind
3945,Three of a kind
3946,High card
3947,Two pair
3948,High card
3949,High card
3950,Two pair
3951,One pair
3952,One pair
3953,One pair
3954,Two pair
3955,One pair
3956,One pair
3957,High card
3958,One pair
3959,Two pair
3960,One pair
3961,Two pair
3962,Flush
3963,Flush
3964,One pair
3965,High card
3966,One pair
3967,One pair
3968,Two pair
3969,One pair
3970,High card
3971,Three of a kind
3972,Two pair
3973,Three of a kind
3974,One pair
3975,One pair
3976,High card
3977,One pair
3978,Full house
3979,One pair
3980,Two pair
3981,Two pair
3982,One pair
3983,High card
3984,One pair
3985,One pair
3986,Two pair
3987,Two pair
3988,One pair
3989,One pair
3990,One pair
3991,High card
3992,Three of a kind
3993,Two pair
3994,Two pair
3995,Two pair
3996,One pair
3997,One pair
3998,Full house
3999,Three of a kind
4000,Two pair
4001,One pair
4002,High card
4003,Straight
4004,One pair
4005,High card
